user,date,logon_count,logoff_count,unique_pc_count,daily_unique_pc_count,after_hours_logon,daily_after_hours_logon_ratio,first_logon_time,last_logoff_time,weekend_logon,daily_pc_access_entropy,usb_connect_count,usb_disconnect_count,after_hours_usb_usage,daily_device_connect_count,daily_device_usage_flag,first_usb_usage_time,last_usb_usage_time,file_access_count,daily_unique_filename_count,daily_new_filename_count,daily_file_access_entropy,after_hours_file_access,weekend_file_access,daily_repeat_file_access_count,daily_repeat_file_ratio,first_file_access_time,last_file_access_time,http_count,daily_http_request_count,unique_url_count,suspicious_url_count,file_sharing_site_visits,job_search_site_visits,http_after_hours,daily_unique_domain_count,daily_new_domain_count,daily_domain_access_entropy,daily_external_domain_ratio,logon_risk,file_risk,device_risk,http_risk,overall_risk,logon_if_anomaly,file_if_anomaly,device_if_anomaly,http_if_anomaly
U0001,2024-01-01,2,2,1,1,0.0,0.0,9.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,14.0,2.615630577027551,0.0,0.0,1.0,0.0666666666666666,7.0,15.0,32.0,32.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,1.2652175822274423,1.0,0.3921591776967563,0.5391895830327372,0.4607066439961913,0.6048648616578916,0.4992300665958941,0,0,0,1
U0001,2024-01-02,2,2,1,1,0.0,0.0,7.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,13.0,2.615630577027551,2.0,0.0,1.0,0.0666666666666666,7.0,21.0,23.0,23.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3673349933811751,1.0,0.43298913585000576,0.5107459279273249,0.4607066439961913,0.37050441797858796,0.44373653143802744,0,0,0,0
U0001,2024-01-03,1,1,1,1,0.0,0.0,7.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,2.19722457733622,1.0,0.0,0.0,0.0,4.0,16.0,33.0,33.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.3421131789144003,1.0,0.4089587324218964,0.4838995092908093,0.4607066439961913,0.36374426968131046,0.4293272888475519,0,0,0,0
U0001,2024-01-04,1,1,1,1,0.0,0.0,7.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,12.0,2.54003630382098,2.0,0.0,1.0,0.0714285714285714,3.0,14.0,36.0,36.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.363289023397309,1.0,0.40426045185591375,0.4952706861423064,0.4607066439961913,0.36832925658269156,0.4321417596442758,0,0,0,0
U0001,2024-01-05,1,1,1,1,0.0,0.0,12.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,2.079441541679836,1.0,0.0,0.0,0.0,3.0,15.0,25.0,25.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.2550811374014197,1.0,0.38221189172094727,0.46927812625161164,0.4607066439961913,0.38763090354938584,0.424956891379534,0,0,0,0
U0001,2024-01-08,2,2,1,1,0.0,0.0,8.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.079441541679836,0.0,0.0,0.0,0.0,7.0,14.0,15.0,15.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.235144651532666,1.0,0.3737748289064335,0.5047685143093961,0.4607066439961913,0.3957073267710938,0.4337393284957787,0,0,0,0
U0001,2024-01-09,1,1,1,1,0.0,0.0,7.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,2.995732273553991,0.0,0.0,0.0,0.0,7.0,16.0,20.0,20.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3195454632493369,1.0,0.40426045185591375,0.6287893769303401,0.4607066439961913,0.36234802988474124,0.46402612566679663,0,1,0,0
U0001,2024-01-10,1,1,1,1,0.0,0.0,13.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,1.945910149055313,0.0,0.0,0.0,0.0,8.0,15.0,30.0,30.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,1.319610599773624,1.0,0.413919425202877,0.4724495269600224,0.4607066439961913,0.37645661263721575,0.43088305219907663,0,0,0,0
U0001,2024-01-11,1,1,1,1,0.0,0.0,15.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.7917594692280547,1.0,0.0,0.0,0.0,8.0,20.0,28.0,28.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3449037417325984,1.0,0.41505541818133057,0.4741711745491294,0.4607066439961913,0.3554243136065063,0.4263393875832894,0,0,0,0
U0001,2024-01-12,2,2,1,1,0.0,0.0,11.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,14.0,2.685945324669788,1.0,0.0,1.0,0.0625,6.0,14.0,14.0,14.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3337360272028096,1.0,0.3952803433303921,0.5154696138404063,0.4607066439961913,0.37623276573186054,0.43692234172471256,0,0,0,0
U0001,2024-01-15,2,2,1,1,0.0,0.0,7.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,10.0,2.564949357461537,3.0,0.0,0.0,0.0,7.0,23.0,15.0,15.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3792922544726758,1.0,0.38092628093505004,0.45255672462418634,0.4607066439961913,0.3886470498264968,0.4207091748454811,0,0,0,0
U0001,2024-01-16,1,1,1,1,0.0,0.0,11.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,2.19722457733622,1.0,0.0,0.0,0.0,7.0,21.0,17.0,17.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3197299215186695,1.0,0.39797680265970303,0.4674475503216899,0.4607066439961913,0.375216322932745,0.4253368299775823,0,0,0,0
U0001,2024-01-17,2,2,1,1,0.0,0.0,11.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,1.945910149055313,1.0,0.0,0.0,0.0,7.0,20.0,37.0,37.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,1.3764918694658483,1.0,0.38609463003855093,0.49511339266069393,0.4607066439961913,0.39112071077510446,0.4332588443676352,0,0,0,0
U0001,2024-01-18,1,1,1,1,0.0,0.0,9.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,13.0,2.70805020110221,1.0,0.0,0.0,0.0,1.0,16.0,20.0,20.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,1.2580481453641943,1.0,0.3815966770669846,0.4861267349593643,0.4607066439961913,0.41845840931705247,0.43672211633489816,0,0,0,0
U0001,2024-01-19,1,1,1,1,0.0,0.0,13.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,7.0,2.54003630382098,0.0,0.0,1.0,0.0714285714285714,7.0,16.0,13.0,13.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.2658567518727373,1.0,0.3868433104840924,0.4491917039697122,0.4607066439961913,0.3882092805895026,0.4212377347598746,0,0,0,0
