user,score_logon,max_error_logon,mean_error_logon,score_http,max_error_http,mean_error_http,score_device,max_error_device,mean_error_device,score_file,max_error_file,mean_error_file,is_insider,threat_scenario,score_v2,anomaly_days,max_error,mean_error
U0028,0.12830399511124685,0.35100290179252625,0.04368983984625499,0.16255979767903933,0.6465044021606445,0.030053333011229758,0.9145795900935784,0.8878718018531799,0.12311818995845637,0.23120321159253146,0.599918782711029,0.04606301736655171,1,usb_exfil,0.9957041924294073,70,0.6213244721293449,0.06073109504562321
U0655,0.13540319538404488,0.43699777126312256,0.0375746751859434,0.030700787193335133,0.20086570084095,0.018534858315454567,1.1591912066292471,0.9167001843452454,0.153346300479504,0.1870574905915206,0.6335448622703552,0.03580496670414344,1,usb_exfil,0.9885955315300583,68,0.5470271296799183,0.06131520017126135
U0755,0.11972602224276316,0.3676016330718994,0.03978997995780976,0.02984462706048251,0.15231764316558838,0.023937486355645153,1.0675222519391006,0.8815616369247437,0.14794042174106659,0.2549922971486448,0.6386643052101135,0.04877721676889247,1,usb_exfil,0.9879651333016932,67,0.5100363045930862,0.0651112762058535
U0349,0.4013375826976418,0.6192320585250854,0.07918063802164614,0.08884872445522227,0.338866263628006,0.0320321037044181,0.14834942451166513,0.5471530556678772,0.03312376048242145,0.26971597345267434,0.609184980392456,0.05409038579628982,1,sabotage,0.9873375783260733,67,0.5286090895533562,0.049606722001193884
U0026,0.44913829310520254,0.6981810927391052,0.07744394274102862,0.09893887433612375,0.3364779055118561,0.035398582180844816,0.038395785995749665,0.3813856840133667,0.012119777028219423,0.23132801464290423,0.6144880056381226,0.045320039007927575,1,sabotage,0.9843824886006618,69,0.5076331719756126,0.04257058523950511
U0090,0.11294753562994214,0.38211774826049805,0.03584471183951203,0.02700617484077601,0.14968299865722656,0.021879437055665484,1.1644230600799117,0.8920937180519104,0.15828722306212192,0.19140559632548923,0.5368831753730774,0.043233498524139526,1,usb_exfil,0.9835658359327063,68,0.4901944100856781,0.06481121762035974
U0715,0.3230687988763391,0.5236077904701233,0.07427871331555766,0.09183675638632359,0.305066853761673,0.03624073256688409,0.08686893988312866,0.5143892168998718,0.020330502838908655,0.3765304246063963,0.8257460594177246,0.05489452339736462,1,sabotage,0.9811236066846314,69,0.5422024801373482,0.04643611802967876
U0096,0.18662522950648566,0.4849289357662201,0.04633057713078376,0.09359044856872394,0.355040043592453,0.0317343527722154,0.7824078748508527,0.8860536217689514,0.10630376893770543,0.13520730185151844,0.4047417938709259,0.04021587743916304,1,usb_exfil,0.9614206746948653,69,0.5326910987496376,0.05614614406996691
U0115,0.26297685603949766,0.4777074456214905,0.0667576533862172,0.15757315988256235,0.5228485465049744,0.036547012587615266,0.23497838325134426,0.6708067059516907,0.04247917361756075,0.23463312163291156,0.7345795631408691,0.03873432754250965,1,sabotage,0.9605346654607642,68,0.6014855653047562,0.04612954178347571
U0518,0.07213707288161283,0.2443326711654663,0.03580325540620192,0.02531808985489886,0.1661500483751297,0.018478895455449916,1.1138826163257411,0.8854960203170776,0.1525451331056983,0.17288028012028847,0.49343135952949524,0.04248780097338353,1,usb_exfil,0.9405422109531707,68,0.4473525248467922,0.06232877123518342
U0430,0.13156656130948624,0.3763843774795532,0.04208132342491841,0.2723278124144042,0.7072177529335022,0.046356890618909574,0.11707415057399209,0.5274000763893127,0.026723681171289714,0.2934215116081224,0.7599362134933472,0.04648258414516127,1,cloud_exfil,0.938437223939875,69,0.5927346050739288,0.040411119840069745
U0095,0.2469334836610779,0.45589107275009155,0.06520701953353558,0.22462512655956723,0.6275843977928162,0.043088527344651455,0.09442196629249291,0.5471530556678772,0.020774934626440856,0.2063778226383298,0.4692527651786804,0.05294581530454812,1,sabotage,0.9381871325596377,69,0.5249703228473663,0.045504074202294006
