user,date,logon_count,logoff_count,unique_pc_count,daily_unique_pc_count,after_hours_logon,daily_after_hours_logon_ratio,first_logon_time,last_logoff_time,weekend_logon,daily_pc_access_entropy,usb_connect_count,usb_disconnect_count,after_hours_usb_usage,daily_device_connect_count,daily_device_usage_flag,first_usb_usage_time,last_usb_usage_time,file_access_count,daily_unique_filename_count,daily_new_filename_count,daily_file_access_entropy,after_hours_file_access,weekend_file_access,daily_repeat_file_access_count,daily_repeat_file_ratio,first_file_access_time,last_file_access_time,http_count,daily_http_request_count,unique_url_count,suspicious_url_count,file_sharing_site_visits,job_search_site_visits,http_after_hours,daily_unique_domain_count,daily_new_domain_count,daily_domain_access_entropy,daily_external_domain_ratio
U0001,2024-01-01,2,2,1,1,0.0,0.0,9.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,14.0,2.615630577027551,0.0,0.0,1.0,0.06666666666666667,7.0,15.0,32.0,32.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,1.2652175822274423,1.0
U0001,2024-01-02,2,2,1,1,0.0,0.0,7.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,13.0,2.615630577027551,2.0,0.0,1.0,0.06666666666666667,7.0,21.0,23.0,23.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3673349933811751,1.0
U0001,2024-01-03,1,1,1,1,0.0,0.0,7.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,2.1972245773362196,1.0,0.0,0.0,0.0,4.0,16.0,33.0,33.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.3421131789144003,1.0
U0001,2024-01-04,1,1,1,1,0.0,0.0,7.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,12.0,2.54003630382098,2.0,0.0,1.0,0.07142857142857142,3.0,14.0,36.0,36.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.363289023397309,1.0
U0001,2024-01-05,1,1,1,1,0.0,0.0,12.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,2.0794415416798357,1.0,0.0,0.0,0.0,3.0,15.0,25.0,25.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.2550811374014195,1.0
U0001,2024-01-08,2,2,1,1,0.0,0.0,8.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,7.0,14.0,15.0,15.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.235144651532666,1.0
U0001,2024-01-09,1,1,1,1,0.0,0.0,7.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,2.995732273553991,0.0,0.0,0.0,0.0,7.0,16.0,20.0,20.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3195454632493369,1.0
U0001,2024-01-10,1,1,1,1,0.0,0.0,13.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,1.945910149055313,0.0,0.0,0.0,0.0,8.0,15.0,30.0,30.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,1.319610599773624,1.0
U0001,2024-01-11,1,1,1,1,0.0,0.0,15.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.7917594692280547,1.0,0.0,0.0,0.0,8.0,20.0,28.0,28.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3449037417325984,1.0
U0001,2024-01-12,2,2,1,1,0.0,0.0,11.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,14.0,2.685945324669788,1.0,0.0,1.0,0.0625,6.0,14.0,14.0,14.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.3337360272028096,1.0
