file_risk,http_risk,logon_risk,device_risk,user,date,actual_label,predicted_prob
0.39595556,0.5931035,-1.0322884,-0.061990548,U0002,2024-01-01,0,0.00326867
-0.3711285,-2.094956,-0.61882144,-0.093460895,U0002,2024-01-02,0,0.00015173122
0.69094944,-1.2110436,-0.5061772,-0.09543218,U0002,2024-01-03,0,0.0011852917
-0.07582507,-1.2060382,-0.3013517,-0.06854978,U0002,2024-01-04,0,0.00069796527
-0.32273594,-1.7328526,0.5406046,-0.05926911,U0002,2024-01-05,0,0.0007541746
-0.0292598,-1.4639817,0.9150105,-0.05572618,U0002,2024-01-08,0,0.001928978
-0.17973267,-0.13092697,-0.4968127,-0.053813983,U0002,2024-01-09,0,0.0015373381
-0.37648818,-1.5594381,-0.6590631,-0.047599386,U0002,2024-01-10,0,0.00025924598
-0.21063848,-1.9089824,-0.5664284,-0.08122352,U0002,2024-01-11,0,0.00022886405
-0.765308,-2.4433317,-0.51889884,-0.06947461,U0002,2024-01-12,0,8.173915e-05
0.25360733,-1.8179744,-0.52634895,-0.082355894,U0002,2024-01-15,0,0.00041452947
-0.11828386,-1.469286,-0.2646453,-0.04345257,U0002,2024-01-16,0,0.0005469832
-0.044286292,-1.3226498,1.202128,-0.054121748,U0002,2024-01-17,0,0.0029183698
-0.4460002,-0.69782084,-0.47938785,-0.06327026,U0002,2024-01-18,0,0.00067416736
-0.5715272,-1.5254741,-0.49323624,-0.04864494,U0002,2024-01-19,0,0.0002602085
0.29377693,-1.2694324,-0.36283958,-0.06749765,U0002,2024-01-22,0,0.0008922508
-1.7927955,-1.4355989,-0.4787975,-0.04663534,U0002,2024-01-23,0,8.5346495e-05
0.63773346,-1.2527852,-0.40768915,-0.09896233,U0002,2024-01-24,0,0.0011852917
-0.6352026,-2.3638432,0.1491762,-0.045832958,U0002,2024-01-25,0,0.00020128611
-0.8117309,-1.1650931,-0.40836456,-0.0435974,U0002,2024-01-26,0,0.00032102678
-0.42223483,-2.776772,-0.67988706,-0.06786549,U0002,2024-01-29,0,7.037228e-05
-0.912592,-2.5614924,-0.55436915,-0.06689576,U0002,2024-01-30,0,6.0656148e-05
-0.7284393,1.0970756,-0.7311515,-0.040421803,U0002,2024-01-31,0,0.0024290716
0.2881585,-2.1264908,-0.49024257,-0.07861938,U0002,2024-02-01,0,0.00032803087
-0.40380034,-1.702001,1.4181421,-0.03445173,U0002,2024-02-02,0,0.0017664991
-0.7337947,-1.649757,-0.41183853,-0.041113656,U0002,2024-02-05,0,0.00021355844
-1.1510665,-1.5182087,-0.5071673,-0.047763422,U0002,2024-02-06,0,0.00014493395
-0.565887,-2.542769,-0.591908,-0.07210986,U0002,2024-02-07,0,8.375297e-05
-0.7532655,-2.2299705,-0.61725557,0.39376616,U0002,2024-02-08,0,0.00014748913
-0.35295737,-1.7237116,-0.5285927,-0.046921633,U0002,2024-02-09,0,0.0002567713
