user,date,file_risk,http_risk,logon_risk,device_risk,calculated_raw_score,overall_risk_score
U0001,2024-01-01,0.5391895830327372,0.6048648616578916,0.3921591776967563,0.4607066439961913,0.5501091226750118,0.7032285669056793
U0001,2024-01-02,0.5107459279273249,0.3705044179785879,0.4329891358500057,0.4607066439961913,0.40879105433537105,0.5225754953966751
U0001,2024-01-03,0.4838995092908093,0.3637442696813104,0.4089587324218964,0.4607066439961913,0.39548393659986686,0.5055644244126513
U0001,2024-01-04,0.4952706861423064,0.3683292565826915,0.4042604518559137,0.4607066439961913,0.39939823749074704,0.5105682465498774
U0001,2024-01-05,0.4692781262516116,0.3876309035493858,0.3822118917209472,0.4607066439961913,0.4026240069510579,0.5146918888259984
U0001,2024-01-08,0.5047685143093961,0.3957073267710938,0.3737748289064335,0.4607066439961913,0.4121740069320143,0.526900071755051
U0001,2024-01-09,0.6287893769303401,0.3623480298847412,0.4042604518559137,0.4607066439961913,0.4189121976675144,0.5355137958674983
U0001,2024-01-10,0.4724495269600224,0.3764566126372157,0.413919425202877,0.4607066439961913,0.4022337108040792,0.5141929561801009
U0001,2024-01-11,0.4741711745491294,0.3554243136065063,0.4150554181813305,0.4607066439961913,0.3898212473624719,0.49832556093429003
U0001,2024-01-12,0.5154696138404063,0.3762327657318605,0.3952803433303921,0.4607066439961913,0.4060847176574511,0.5191158667791321
U0001,2024-01-15,0.4525567246241863,0.3886470498264968,0.38092628093505,0.4607066439961913,0.4001040188998491,0.511470477813482
U0001,2024-01-16,0.4674475503216899,0.375216322932745,0.397976802659703,0.4607066439961913,0.39762365468190947,0.5082997196811609
U0001,2024-01-17,0.4951133926606939,0.3911207107751044,0.3860946300385509,0.4607066439961913,0.4099809803958628,0.5240966299566227
U0001,2024-01-18,0.4861267349593643,0.4184584093170524,0.3815966770669846,0.4607066439961913,0.4243779131712408,0.542500859201604
U0001,2024-01-19,0.4491917039697122,0.3882092805895026,0.3868433104840924,0.4607066439961913,0.40035630793403026,0.5117929899272432
U0001,2024-01-20,0.5229381381032432,0.4035982360983493,0.592967759738928,0.4607066439961913,0.46113902042191757,0.5894941914409453
U0001,2024-01-22,0.4238302929417407,0.3802513585297309,0.4409627204378588,0.4607066439961913,0.4011749691040259,0.5128395203293531
U0001,2024-01-23,0.4964651328022245,0.59108954176497,0.3700719586180757,0.4607066439961913,0.5300968370382954,0.6776459863435146
U0001,2024-01-24,0.5054662486463343,0.3694085391375371,0.390729634513581,0.4607066439961913,0.3993036657762998,0.5104473513883917
U0001,2024-01-25,0.4217092473669912,0.385956020637636,0.3822291667733846,0.4607066439961913,0.3933363996939129,0.5028191339993467
U0001,2024-01-26,0.4345191272109566,0.3944683513140773,0.3744829777567428,0.4607066439961913,0.3993442514110491,0.5104992337815121
U0001,2024-01-29,0.4321481698806401,0.4511693294851647,0.3700719586180757,0.4607066439961913,0.43294934415834313,0.5534580945589821
U0001,2024-01-30,0.480578211051793,0.3988719621002081,0.426577207925458,0.4607066439961913,0.4197844501021447,0.536628834328599
U0001,2024-01-31,0.4797086216798036,0.39665827834652,0.3970367509533916,0.4607066439961913,0.4127529464492716,0.5276401554771064
U0001,2024-02-01,0.4607919101803562,0.3737886239169514,0.4829980749573467,0.4607066439961913,0.4114783699835236,0.5260108085994158
U0001,2024-02-02,0.4285778220132962,0.3941738935080751,0.3910688232624941,0.4607066439961913,0.4012308402228889,0.5129109428257814
U0001,2024-02-05,0.4227377862798587,0.3735181935138241,0.386033396279864,0.4607066439961913,0.3865832345325692,0.4941862674229917
U0001,2024-02-06,0.4221052409639834,0.3755410151272331,0.4622160088997607,0.4607066439961913,0.40195259578265163,0.5138335945452803
U0001,2024-02-07,0.4442759195668146,0.3691591747094109,0.3706855445307258,0.4607066439961913,0.38477738426740793,0.49187776999644417
U0001,2024-02-08,0.453806418750691,0.3806399386691594,0.4133287132128924,0.4607066439961913,0.4014559637283149,0.5131987280552421
U0001,2024-02-09,0.4384815098865374,0.3851153112788941,0.412737171953391,0.4607066439961913,0.4014338142911209,0.5131704134603124
U0001,2024-02-12,0.4293341292708161,0.3802153389178988,0.4829980749573467,0.4607066439961913,0.40996388255993427,0.5240747730446726
U0001,2024-02-13,0.4420907314322801,0.3617346633766048,0.3968300748226556,0.4607066439961913,0.38472134213014125,0.4918061288797058
