id,payload_id,agent_id,username,risk_score,risk_level,correlated_signals_json,summary,created_at
1,11b1461d-fbf1-4805-abe6-701871aeef8f,63398a72-282f-4db3-960c-61ebacb35ddc,user_039,8.64,Info,"{""logon_risk"": 2.1409627350967297, ""file_risk"": 6.224864318317129, ""device_risk"": 19.746548267237813, ""http_risk"": 19.71802737410289}",Normal system operation,2026-05-15 01:10:29+00
2,59dedbe3-3d54-4607-bca3-c28a5f737550,5f472a5c-6f5f-4485-80e0-996a3a30df26,user_042,84.19,High,"{""logon_risk"": 98.84595369547633, ""file_risk"": 96.85348904728319, ""device_risk"": 29.71471487192645, ""http_risk"": 63.80925146072683}",Mass file deletion detected,2026-05-15 14:25:25+00
3,6cd69cd6-06a8-4484-95f8-eb1867156bb7,63398a72-282f-4db3-960c-61ebacb35ddc,user_039,20.44,Low,"{""logon_risk"": 10.31377077045841, ""file_risk"": 18.939363320183745, ""device_risk"": 1.869841553206728, ""http_risk"": 3.5286092724077345}",Unusual but benign network traffic,2026-05-15 14:24:17+00
4,95aab326-50ac-456f-92d3-b806ed6cd13f,6c0d1523-322c-4596-a41f-7318e21cda74,user_017,40.4,Medium,"{""logon_risk"": 62.85758206706513, ""file_risk"": 61.821037845314095, ""device_risk"": 50.930977717217495, ""http_risk"": 1.499053621855817}",Connection to unknown external IP,2026-05-15 12:08:19+00
5,fd158fe4-5c21-471d-9485-ef3cf6497418,0b2d194f-00de-464b-8ef0-915592bfc730,user_012,3.42,Info,"{""logon_risk"": 8.032600417939504, ""file_risk"": 4.057644134904567, ""device_risk"": 0.6963375302700103, ""http_risk"": 18.57942790991467}",Normal system operation,2026-05-15 18:06:29+00
6,aa427abe-79e4-45ac-83e5-348ef7f12756,e7fa6ce7-a405-47c5-9fc5-6bb32c7ab6c7,user_022,4.66,Info,"{""logon_risk"": 9.243501978480833, ""file_risk"": 0.888159062611571, ""device_risk"": 8.31690656766931, ""http_risk"": 18.94710287137912}",Normal system operation,2026-05-15 12:54:34+00
7,8cadd469-e35a-44f9-aa72-b4c8580459b9,3d003c22-ac8d-4207-bda8-04f3942a17f3,user_026,9.92,Info,"{""logon_risk"": 1.5965744155497963, ""file_risk"": 8.163474834092002, ""device_risk"": 12.903170286735111, ""http_risk"": 1.0746975067853293}",Automated backup check,2026-05-15 21:49:02+00
8,21a0920d-ba95-44ae-9d9f-ebdfcff7734d,4645a04a-83e1-4a7f-8a99-0f0cbd3b6f51,user_001,27.17,Low,"{""logon_risk"": 11.055535939425479, ""file_risk"": 10.794173612733985, ""device_risk"": 6.997060958630758, ""http_risk"": 6.695888956110487}",Minor configuration change,2026-05-15 13:03:02+00
9,5b06c93e-a2fc-4bae-b484-4adca5032e70,c1de5741-fd4e-41da-8aad-0fadbbd7691b,user_040,9.88,Info,"{""logon_risk"": 3.7074055015737084, ""file_risk"": 1.3578934004788956, ""device_risk"": 15.696456360889586, ""http_risk"": 11.003892984474161}",Standard authentication,2026-05-15 13:50:20+00
10,132c0af7-7a10-4f8e-b587-334de01c5e2a,81620bdb-5c51-4d2b-9ca3-919f7f0ec0f2,user_018,18.69,Low,"{""logon_risk"": 9.511998969234066, ""file_risk"": 15.657765296029488, ""device_risk"": 1.9996249434086977, ""http_risk"": 15.797147686681846}",Failed authentication attempt,2026-05-15 14:03:19+00
11,e5814f86-4625-46f6-9fd3-ccecbbeb70c1,c65a5376-393d-4e00-8b6e-67bd6b25185f,user_021,21.0,Low,"{""logon_risk"": 17.533045690346505, ""file_risk"": 11.554218876560661, ""device_risk"": 9.773065564767684, ""http_risk"": 16.083229005113598}",Unusual but benign network traffic,2026-05-15 10:26:31+00
12,7340514a-64c9-4773-a090-77176dbae512,0b2d194f-00de-464b-8ef0-915592bfc730,user_012,15.59,Low,"{""logon_risk"": 8.21201442351593, ""file_risk"": 19.335803911820822, ""device_risk"": 6.441872710266905, ""http_risk"": 10.142838282961709}",Unusual but benign network traffic,2026-05-15 21:14:39+00
13,43ba669c-350c-4c32-af1a-d7d2890d9ea9,13fe76b0-e8bd-4fe8-8bac-2fd4cae81b01,user_013,29.95,Low,"{""logon_risk"": 9.063288641681023, ""file_risk"": 16.4318796822652, ""device_risk"": 2.8987393671514017, ""http_risk"": 8.931255698824888}",Application error,2026-05-15 02:57:33+00
14,ae211383-abaf-4358-ad5d-3424ae9d24e3,4f0641b3-779e-47cf-8e98-b289501eb482,user_010,3.79,Info,"{""logon_risk"": 9.595459881806265, ""file_risk"": 0.03404201732781997, ""device_risk"": 9.466327202617444, ""http_risk"": 2.5348006913768217}",Routine background process,2026-05-15 19:23:37+00
15,8b417cfb-86db-4982-9a93-86e44d4fc50f,4f0641b3-779e-47cf-8e98-b289501eb482,user_010,9.71,Info,"{""logon_risk"": 15.980707963080672, ""file_risk"": 0.7310132151652038, ""device_risk"": 8.922729531632147, ""http_risk"": 9.869386166715701}",Normal system operation,2026-05-15 22:12:12+00
16,b15244cb-58eb-4ecb-962e-92f133edf6a8,99d485bc-d9c5-4478-9b5b-427601c4dbfb,user_023,45.1,Medium,"{""logon_risk"": 15.274239432035309, ""file_risk"": 48.342512398614744, ""device_risk"": 34.169063021418246, ""http_risk"": 16.81923468337856}",Connection to unknown external IP,2026-05-15 13:56:29+00
17,370c3b6b-5ae8-4728-8cf7-71430bed4f36,590d3f81-8d3f-45fe-9ef1-e4ba8e478656,user_020,17.96,Low,"{""logon_risk"": 6.416274394211527, ""file_risk"": 15.136368545389754, ""device_risk"": 13.36534293485954, ""http_risk"": 15.695031267194269}",Application error,2026-05-15 04:50:23+00
18,86c39aed-5456-4c3b-bdc6-95065439f434,85c4a5e9-2410-47c9-a2aa-27b04b715ef8,user_048,4.52,Info,"{""logon_risk"": 3.9822306895230764, ""file_risk"": 9.136021428630963, ""device_risk"": 11.803610847253177, ""http_risk"": 3.7091323136060916}",Normal system operation,2026-05-15 10:32:14+00
19,5115240b-60a8-4b83-bb4d-134f546123ee,149e4d0e-3e86-45d6-a5fb-3b24a385ae55,user_038,3.08,Info,"{""logon_risk"": 2.1054676813209605, ""file_risk"": 14.888707346738597, ""device_risk"": 13.457980271265914, ""http_risk"": 3.4926119264702193}",Automated backup check,2026-05-15 01:36:27+00
20,fe8ce9c0-7767-47e5-8302-2f728f5a1043,57e54e3e-7b02-4aa1-a541-9a4a72f163b3,user_004,3.36,Info,"{""logon_risk"": 1.1777148310563446, ""file_risk"": 8.662421623855954, ""device_risk"": 14.566807365469273, ""http_risk"": 18.704546642013792}",Automated backup check,2026-05-15 20:31:26+00
21,b042f486-fa08-4f20-9ed2-f9fdd00986ef,6c0d1523-322c-4596-a41f-7318e21cda74,user_017,3.27,Info,"{""logon_risk"": 8.19147727211069, ""file_risk"": 13.95869202581645, ""device_risk"": 16.500787576115947, ""http_risk"": 18.823273912236626}",Routine background process,2026-05-15 10:45:30+00
